parameter	value	scope	note
plan_version	gate10_continuous_axis_v1	global	post-Gate9B exploratory branch; cannot alter Gate9B
random_seed	20260807	global	fixed for all resampling
workers	8	compute	planned maximum
hard_timeout_hours	4	compute	Gate10A
gse_primary_patients	42	input	bone-metastasis source patients only
oep_primary_patients	49	input	solid-tumor bone metastases only
axis_mphi_oc	mean(MACROPHAGE_z,OSTEOCLAST_z)	axis	fixed arithmetic mean
axis_mono	mean(CD14HI_MONO_z,CD16HI_MONO_z)	axis	fixed arithmetic mean
axis_treg_tex	mean(CD4_TREG_z,CD8_TEX_z)	axis	fixed arithmetic mean
dominance_contrast	axis_j-mean(other_two_axes)	axis	visualization only; never categorical
cell_subsample_iterations	100	reliability	all OEP patients independently subsampled each iteration
cell_subsample_fraction	0.80	reliability	floor within patient without replacement
minimum_median_rank_rho	0.80	gate10a_a1	inclusive for every axis
minimum_q05_rank_rho	0.65	gate10a_a1	inclusive for every axis
minimum_signal_to_noise	2.0	gate10a_a2	between-patient SD divided by median within-patient subsampling SD
maximum_origin_r_squared	0.50	gate10a_a3	strict for every axis
minimum_within_origin_variance_fraction	0.50	gate10a_a3	inclusive for every axis
minimum_origin_n_for_standalone	3	gate10a_a3	does not exclude smaller origins from global model
minimum_pc1_tucker_congruence	0.95	gate10a_a4	inclusive after every patient deletion
loading_sign_audit_abs_threshold	0.30	gate10a_a4	full-data absolute loading threshold
dip_test_targets	three_axes|PC1|PC2	descriptive	cannot define replacement clusters
gaussian_mixture_candidates	1|2|3|4	descriptive	BIC and LOPO predictive likelihood only
gate10a_go_rule	A1&A2&A3&A4	decision	all four primary measurement/robustness endpoints
gate10a_partial_rule	A1&A2&!(A3&A4)	decision	measurable but origin- or influence-sensitive
gate10a_stop_rule	!A1|!A2	decision	no malignant coupling
minimum_malignant_cells_per_patient	100	gate10b	frozen before association testing
minimum_eligible_patients_per_atlas	20	gate10b	frozen before association testing
nmf_candidate_ranks	3|4|5|6|7|8|9|10	gate10b	selection independent of immune axes
meta_fdr_threshold	0.05	gate10b	BH-adjusted across tested program-axis pairs
minimum_loco_sign_retention	0.80	gate10b	inclusive
third_cohort_required	TRUE	gate10c	mandatory for confirmatory claim
cell_level_inference	prohibited	global	patient is inference unit
oep_refitting_of_axes	prohibited	global	Gate9A scaling and states immutable
